"","Cell.ID","Value","Std.Error","p.value"
"1","3877",0,0,1
"2","3878",0,0,1
"3","3879",0,0,1
"4","3880",0,0,1
"5","3881",0,0,1
"6","3882",0,0,1
"7","3883",0,0,1
"8","3891",0,0,1
"9","3892",0,0,1
"10","3893",0,0,1
"11","3894",0,0,1
"12","3895",0,0,1
"13","3896",0,0,1
"14","3897",0,0,1
"15","3898",0,0,1
"16","3919",0,0,1
"17","3920",0,0,1
"18","3924",0,0,1
"19","3925",0,0,1
"20","3926",0,0,1
"21","3927",0,0,1
"22","3928",0,0,1
"23","3929",0,0,1
"24","3930",0,0,1
"25","3931",0,0,1
"26","3932",0,0,1
"27","3933",0,0,1
"28","3934",0,0,1
"29","4580",0,0,1
"30","4581",0,0,1
"31","4582",0,0,1
"32","4583",0,0,1
"33","4584",0,0,1
"34","4585",0,0,1
"35","4595",0,0,1
"36","4596",0,0,1
"37","4597",0,0,1
"38","4598",0,0,1
"39","4599",0,0,1
"40","4606",0,0,1
"41","4607",0,0,1
"42","4608",0,0,1
"43","4609",0,0,1
"44","4616",0,0,1
"45","4617",0,0,1
"46","4618",0,0,1
"47","4619",0,0,1
"48","4620",0,0,1
"49","4621",0,0,1
"50","4622",0,0,1
"51","4623",0,0,1
"52","4662",0,0,1
"53","4663",0,0,1
"54","4664",0,0,1
"55","4665",0,0,1
"56","4666",0,0,1
"57","4667",0,0,1
"58","4668",0,0,1
"59","4669",0,0,1
"60","4670",0,0,1
"61","4671",0,0,1
"62","4672",0,0,1
"63","5288",0,0,1
"64","5289",0,0,1
"65","5290",0,0,1
"66","5291",0,0,1
"67","5302",0,0,1
"68","5303",0,0,1
"69","5304",0,0,1
"70","5305",0,0,1
"71","5306",0,0,1
"72","5307",0,0,1
"73","5309",0,0,1
"74","5313",0,0,1
"75","5314",0,0,1
"76","5315",0,0,1
"77","5316",0,0,1
"78","5318",0,0,1
"79","5319",0,0,1
"80","5320",0,0,1
"81","5322",0,0,1
"82","5323",0,0,1
"83","5333",0,0,1
"84","5334",0,0,1
"85","5391",0,0,1
"86","5392",0,0,1
"87","5543",0,0,1
"88","5544",0,0,1
"89","5545",0,0,1
"90","5546",0,0,1
"91","5990",0,0,1
"92","5991",0,0,1
"93","5992",0,0,1
"94","6030",0,0,1
"95","6031",0,0,1
"96","6032",0,0,1
"97","6033",0,0,1
"98","6034",0,0,1
"99","6035",0,0,1
"100","6036",0,0,1
"101","6037",0,0,1
"102","6038",0,0,1
"103","6039",0,0,1
"104","6055",0,0,1
"105","6056",0,0,1
"106","6057",0,0,1
"107","6108",0,0,1
"108","6109",0,0,1
"109","6110",0,0,1
"110","6111",0,0,1
"111","6113",0,0,1
"112","6114",0,0,1
"113","6115",0,0,1
"114","6116",0,0,1
"115","6272",0,0,1
"116","6273",0,0,1
"117","6274",0,0,1
"118","6714",0,0,1
"119","6715",0,0,1
"120","6716",0,0,1
"121","6717",0,0,1
"122","6718",0,0,1
"123","6722",8.87651148739255e-08,2.14573601929587e-07,0.681212260401002
"124","6723",8.78127653594686e-08,3.38221304054632e-07,0.796416830416402
"125","6724",8.78127653594686e-08,3.38221304054632e-07,0.796416830416402
"126","6732",0,0,1
"127","6733",0,0,1
"128","6734",0,0,1
"129","6735",0,0,1
"130","6736",0,0,1
"131","6744",0,0,1
"132","6745",0,0,1
"133","6746",0,0,1
"134","6834",0,0,1
"135","6835",0,0,1
"136","6836",0,0,1
"137","6837",0,0,1
"138","6838",0,0,1
"139","6942",0,0,1
"140","6943",0,0,1
"141","6944",0,0,1
"142","6945",0,0,1
"143","6946",0,0,1
"144","6947",0,0,1
"145","6985",5.94656731930384e-23,1.30424341133865e-07,1
"146","6986",-2.60464174862506e-08,2.16865521523176e-07,0.904973465049115
"147","6987",-8.15644306525128e-09,2.12144347413319e-07,0.969512976079499
"148","6988",2.64464396300529e-08,1.39937100137104e-07,0.851012484161578
"149","6990",5.30042468598259e-08,4.08532706685355e-07,0.897389170797826
"150","6991",2.85004079033622e-08,3.75263646558576e-07,0.939821336212005
"151","6992",1.39569531040604e-08,4.60911899159794e-07,0.975986250731784
"152","6993",1.39569531040604e-08,4.60911899159794e-07,0.975986250731784
"153","6994",2.85004079033622e-08,3.75263646558576e-07,0.939821336212005
"154","6995",7.42819847211686e-08,4.07662590971212e-07,0.856291141218785
"155","6996",7.61793260132457e-08,4.51046381863235e-07,0.86669028996492
"156","6997",5.89665951685145e-08,4.19860416043853e-07,0.888981124636614
"157","6998",4.85797423550479e-08,3.40618372827767e-07,0.88727057985596
"158","6999",0,0,1
"159","7000",0,0,1
"160","7001",0,0,1
"161","7002",0,0,1
"162","7003",0,0,1
"163","7004",0,0,1
"164","7005",0,0,1
"165","7006",0,0,1
"166","7007",0,0,1
"167","7008",4.62399889068947e-08,2.11602110206478e-07,0.828079793103883
"168","7009",1.03025279882394e-07,4.33191030973729e-07,0.813170357884791
"169","7010",6.80355817668283e-08,2.10950576542765e-07,0.748659558327927
"170","7043",0,0,1
"171","7044",0,0,1
"172","7045",0,0,1
"173","7046",0,0,1
"174","7047",0,0,1
"175","7437",0,0,1
"176","7438",0,0,1
"177","7470",0,0,1
"178","7471",0,0,1
"179","7472",0,0,1
"180","7473",0,0,1
"181","7553",0,0,1
"182","7554",0,0,1
"183","7555",0,0,1
"184","7556",0,0,1
"185","7557",0,0,1
"186","7558",0,0,1
"187","7559",0,0,1
"188","7560",0,0,1
"189","7661",0,0,1
"190","7662",0,0,1
"191","7663",0,0,1
"192","7664",0,0,1
"193","7701",2.08620548654703e-08,5.0217412105472e-07,0.967059506985012
"194","7702",1.30178048836843e-07,5.29560179605718e-07,0.807016639377898
"195","7703",1.29713185633215e-07,5.65070689335707e-07,0.819554069010352
"196","7704",1.95725430382654e-07,4.74199451135127e-07,0.681889916797078
"197","7705",2.09346195009067e-07,4.59752300075096e-07,0.651205947209127
"198","7706",2.94890620642511e-07,4.11131117899471e-07,0.477179992992249
